Website Primary SKU,Website Variation SKU,Till SKU (8 digit),Name,Long Description,Colour/Style,Colour - for filtering,Dimensions  H x W x D (mm),Additional Search Keywords,Cost Price,Selling Price,Stock,VAT,Matches,Inactive,Weight,Category,Attributes,Sub Category,Category 2,Sub Category 2,Manufacturer,Gift Finder,,
10012,100,10012100,Crescent Chunky Pendant,Porcelain pendant. Individually made by hand. Decorated with glazes and precious metals in multiple firings. Porcelain is very light and comfortable to wear. Supplied complete with a 45cm rubber cord with secure steel fastener. No two pieces are alike. ,"Red Glaze, Brown & Gold Lustre",Red,25 x 48 x 13,"Necklace, Jewellery, ",20,48,,S,,,34,Jewellery,Fashion/Art,Necklaces,,,Gill Laverick,For Her,,
10001,100,10001100,Dillie ,Classic slouchy shoulder bag in a beautiful soft suede. Internal pockets. Magdot centre fastening. Handle drop 280mm.,Celery,Green,390 x 360 x 140,"Handbag, Shoulderbag,Tote",36,86.5,,S,,,,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10001,101,10001101,Dillie ,Classic slouchy shoulder bag in a beautiful soft suede. Internal pockets. Magdot centre fastening. Handle drop 280mm.,Jeans,Blue,390 x 360 x 140,"Handbag, Shoulderbag,Tote",36,86.5,,S,,,,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10001,102,10001102,Dillie ,Classic slouchy shoulder bag in a beautiful soft suede. Internal pockets. Magdot centre fastening. Handle drop 280mm.,Mocca,Brown,390 x 360 x 140,"Handbag, Shoulderbag, Tote",36,86.5,,S,,,,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10001,103,10001103,Dillie ,Classic slouchy shoulder bag in a beautiful soft suede. Internal pockets. Magdot centre fastening. Handle drop 280mm.,Forest Pine,Green,390 x 360 x 140,"Handbag, Shoulderbag, Tote",36,86.5,,S,,,,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10002,100,10002100,Puppie,"Simple timeless style, fits easily under the arm. Soft suede. Lightweight but with good capacity, and inside pocket. Magdot centre fastening. Handle drop 270mm.",Lavender,Mauve,220 x 240 x 120,"Shoulderbag,Handbag, ",26,62.5,,S,,,482,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10002,101,10002101,Puppie,"Simple timeless style, fits easily under the arm. Soft suede. Lightweight but with good capacity, and inside pocket. Magdot centre fastening. Handle drop 270mm.",Oxide,Turquoise,220 x 240 x 120,"Shoulderbag,Handbag, ",26,62.5,,S,,,482,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10002,102,10002102,Puppie,"Simple timeless style, fits easily under the arm. Soft suede. Lightweight but with good capacity, and inside pocket. Magdot centre fastening. Handle drop 270mm.",Porridge,Brown,220 x 240 x 120,"Shoulderbag,Handbag, ",26,62.5,,S,,,482,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10002,103,10002103,Puppie,"Simple timeless style, fits easily under the arm. Soft suede. Lightweight but with good capacity, and inside pocket. Magdot centre fastening. Handle drop 270mm.",Crocus,Mauve,220 x 240 x 120,"Shoulderbag,Handbag, ",26,62.5,,S,,,482,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
10002,104,10002104,Puppie,"Simple timeless style, fits easily under the arm. Soft suede. Lightweight but with good capacity, and inside pocket. Magdot centre fastening. Handle drop 270mm.",Bombay,Turquoise,220 x 240 x 120,"Shoulderbag,Handbag, ",26,62.5,,S,,,482,Accessories,,Bags & Purses,,,Owen Barry,For Her,,
